Evaluating: 2 1 2 1 1 4 2 0 3 
MWFT(norm) MWFT LB
30.8073 768.807 24.9553
34.5951 877.721 25.3712
34.5951 877.721 25.3712
36.8645 935.298 25.3712
30.298 768.697 25.3712
34.3981 902.963 26.2503
34.3981 902.963 26.2503
36.6137 961.123 26.2503
30.1107 790.417 26.2503
34.1771 825.914 24.1657
34.1771 825.914 24.1657
35.6461 861.412 24.1657
29.4724 712.221 24.1657
34.3571 847.452 24.666
34.3571 847.452 24.666
37.6599 928.919 24.666
31.8605 785.87 24.666
34.4422 878.839 25.5163
34.4422 878.839 25.5163
37.5714 958.685 25.5163
29.7699 759.62 25.5163
34.9861 883.393 25.2498
34.9861 883.393 25.2498
31.6915 800.203 25.2498
30.5726 771.953 25.2498
32.2285 854.852 26.5247
32.2285 854.852 26.5247
32.8518 871.384 26.5247
31.9473 847.394 26.5247
34.3516 861.436 25.077
34.3516 861.436 25.077
36.1218 905.827 25.077
30.0772 754.246 25.077
33.5571 853.053 25.421
33.5571 853.053 25.421
33.0877 841.123 25.421
30.5758 777.267 25.421
34.5924 860.154 24.8654
34.5924 860.154 24.8654
31.2308 776.566 24.8654
30.1566 749.855 24.8654
35.2676 923.914 26.1972
35.2676 923.914 26.1972
35.8567 939.347 26.1972
31.8952 835.566 26.1972
36.6897 929.38 25.3308
36.6897 929.38 25.3308
37.9825 962.126 25.3308
32.7428 829.402 25.3308
33.0423 888.072 26.8769
33.0423 888.072 26.8769
34.266 920.964 26.8769
28.7122 771.695 26.8769
34.2088 898.815 26.2743
34.2088 898.815 26.2743
31.9556 839.612 26.2743
29.5669 776.849 26.2743
34.9428 860.533 24.6269
34.9428 860.533 24.6269
44.956 1107.13 24.6269
33.8635 833.953 24.6269
33.09 844.542 25.5225
33.09 844.542 25.5225
33.3089 850.128 25.5225
29.6733 757.339 25.5225
33.7736 872.624 25.8375
33.7736 872.624 25.8375
38.4472 993.378 25.8375
29.1905 754.208 25.8375
34.4474 863.846 25.0773
34.4474 863.846 25.0773
40.8781 1025.11 25.0773
30.6134 767.7 25.0773
34.2535 878.508 25.6473
34.2535 878.508 25.6473
33.1414 849.986 25.6473
31.0061 795.223 25.6473
33.891 840.411 24.7975
33.891 840.411 24.7975
38.9537 965.952 24.7975
30.6568 760.211 24.7975
34.9111 869.725 24.9125
34.9111 869.725 24.9125
34.5317 860.273 24.9125
29.7356 740.789 24.9125
34.201 843.79 24.6715
34.201 843.79 24.6715
32.7664 808.397 24.6715
29.6594 731.742 24.6715
33.2259 873.314 26.2841
33.2259 873.314 26.2841
35.8551 942.42 26.2841
29.3839 772.331 26.2841
32.9266 840.281 25.5198
32.9266 840.281 25.5198
39.0212 995.814 25.5198
31.7314 809.78 25.5198
32.723 858.761 26.2434
32.723 858.761 26.2434
33.4951 879.024 26.2434
29.714 779.796 26.2434
35.0913 834.276 23.7745
35.0913 834.276 23.7745
48.5197 1153.53 23.7745
35.0617 833.574 23.7745
34.3902 893.603 25.9842
34.3902 893.603 25.9842
36.9059 958.972 25.9842
30.4171 790.365 25.9842
34.1026 861.919 25.2743
34.1026 861.919 25.2743
35.4968 897.157 25.2743
29.3139 740.889 25.2743
34.6646 887.65 25.6068
34.6646 887.65 25.6068
36.1858 926.604 25.6068
30.1287 771.5 25.6068
35.1609 923.951 26.2778
